entry	vanilla_exit	cinderx_exit	classification
test.test_rlcompleter.TestRlcompleter.test_global_matches	0	0	STALE_skip_test_now_passes_both
test.test__xxsubinterpreters.*	0	124	SKIP_REJECTED_cinderx_bug
test.test_ast.ModuleStateTests.test_subinterpreter	1	1	SKIP_APPROVED_environmental
test.test_atexit.SubinterpreterTest.*	0	134	SKIP_REJECTED_cinderx_bug
test.test_capi.SubinterpreterTest.*	1	1	SKIP_APPROVED_environmental
test.test_embed.AuditingTests.test_audit_subinterpreter	0	0	STALE_skip_test_now_passes_both
test.test_embed.EmbeddingTests.test_subinterps_different_ids	0	0	STALE_skip_test_now_passes_both
test.test_embed.EmbeddingTests.test_subinterps_distinct_state	0	0	STALE_skip_test_now_passes_both
test.test_embed.EmbeddingTests.test_subinterps_main	0	0	STALE_skip_test_now_passes_both
test.test_multibytecodec.Test_IncrementalEncoder.test_subinterp	0	134	SKIP_REJECTED_cinderx_bug
test.test_threading.SubinterpThreadingTests.*	0	134	SKIP_REJECTED_cinderx_bug
test_interpreters	0	124	SKIP_REJECTED_cinderx_bug
test.test_capi.CAPITest.test_getitem_with_error	1	1	SKIP_APPROVED_environmental
test.test_repl.TestInteractiveInterpreter.test_no_memory	0	0	STALE_skip_test_now_passes_both
test__opcode	0	0	STALE_skip_test_now_passes_both
test.test_dis.*.test_widths	1	1	SKIP_APPROVED_environmental
test.test_asyncgen.AsyncGenAsyncioTest.test_async_gen_asyncio_gc_aclose_09	0	0	STALE_skip_test_now_passes_both
test.test_fork1.ForkTest.test_threaded_import_lock_fork	0	0	STALE_skip_test_now_passes_both
test.test_gdb.PrettyPrintTests.test_frames	1	1	SKIP_APPROVED_environmental
test.test_generators.GeneratorTest.test_name	0	0	STALE_skip_test_now_passes_both
test.test_inspect.TestSignatureBind.test_signature_bind_implicit_arg	1	1	SKIP_APPROVED_environmental
test.test_nntplib.NetworkedNNTP_SSLTests	0	0	STALE_skip_test_now_passes_both
test.test_tracemalloc.TestTracemallocEnabled.test_get_traced_memory	0	0	STALE_skip_test_now_passes_both
test.test_types.UnionTests.test_or_type_operator_reference_cycle	0	0	STALE_skip_test_now_passes_both
test.test_trace.TestLineCounts.test_trace_list_comprehension	0	0	STALE_skip_test_now_passes_both
test.test_dis.DisTests.test_bug_1333982	0	0	STALE_skip_test_now_passes_both
test.test_dis.DisTests.test_disassemble_recursive	0	0	STALE_skip_test_now_passes_both
test.test_dis.DisWithFileTests.test_bug_1333982	0	0	STALE_skip_test_now_passes_both
test.test_dis.DisWithFileTests.test_disassemble_recursive	0	0	STALE_skip_test_now_passes_both
test.test_httplib.test_local_bad_hostname	1	1	SKIP_APPROVED_environmental
